Numéro notice,Titre,Titre Article,Auteurs,Auteurs collectifs,Collection,Volume,Numéro,Date,DateDébut,DateFin,Édition,Collation,Éditeur,Lieu,Notes,Régions,Sujets
0001,Égalité,Journaliste acadien ou Acadien journaliste?,"CORMIER, Michel",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 13-18,,,,Acadie,Sociologie|Médias
0002,Égalité,Journalisme et engagement politique : tout le monde ne peut être pompier,"LESAGE, Gilles",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 19-23,,,,Acadie,Sociologie|Médias
0003,Égalité,Entre la culpabilité et l'espoir,"RAINVILLE, Maurice",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 25-38,,,,Acadie,Sociologie|Médias
0004,Égalité,Survol de deux thèses de doctorat sur les médias en Acadie,"CAISSIE, Jean-Pierre",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 39-47,,,,Acadie,Sociologie|Médias
0005,Égalité,Radio-Canada : un média privilégié?,"BASTARACHE, Michel",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 49-62,,,,Acadie,Sociologie|Médias
0006,Égalité,Journalisme et institutions politiques au Nouveau-Brunswick,"SAVOIE, Eldred",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 63-79,,,,Acadie,Sociologie|Médias|Politique|Administration
0007,Égalité,Journalisme et militantisme,"NADEAU, Jean-Marie",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 81-90,,,,Acadie,Sociologie|Médias|Politique|Nationalisme
0008,Égalité,Concepts pour une société en mutation : la situation des jeunes adultes francophones du Nouveau-Brunswick ayant vécu en foyer d'accueil,"ST-PIERRE, Marcelle",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 97-119,,,,Acadie,Sociologie|Solidarité|Populations|Jeunes
0009,Égalité,"Les communautés du sud-est du Nouveau-Brunswick : vitalité, dépendance et développement","LARMARCHE, Rodolphe|ARSENEAULT, Samuel|GAGNON, Suzanne",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 123-135,,,,Acadie,Géographie|Population
0010,Égalité,Recherche sans frontière : nomadisme et connaissance,"BACCOUCHE, Nasser",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 139-165,,,,Acadie,Sociologie|Identité
0011,Égalité,Réflexions sur une nouvelle casuistique : le suicide assisté,"LAROCHELLE, Gilbert|DUMOULIN, Catherine",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 167-183,,,,Acadie,Sociologie
0012,Égalité,Le déploiement de l'acadianité moderne : une morphologie de l'identité culturelle minoritaire,"RICHARD, Ricky G.",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 185-210,,,,Acadie,Sociologie|Identité|Politique|Nationalisme
0013,Égalité,Analyse critique de la réorganisation des districts scolaires au Nouveau-Brunswick,"WEVA, Kabule W.",,,,38,1995,1995-01-01,1995-12-31,,pp. 15-58,,,,Acadie,Politique|Administration|Éducation|Administration
0014,Égalité,La décentralisation administrative de 1992 au Nouveau-Brunswick et le contrôle du territoire,"BOURGEOIS, Daniel",,,,38,1995,1995-01-01,1995-12-31,,pp. 59-97,,,,Acadie,Politique|Administration
0015,Égalité,Bilan financier des réformes administratives du gouvernement McKenna,"LEBLANC, Ronald C.|DESLIERRES, Michel",,,,38,1995,1995-01-01,1995-12-31,,pp. 99-125,,,,Acadie,Politique|Administration|Économie|Analyse
0016,Égalité,Les réformes structurelles de l'administration publique néo-brunswickoise : une remise en cause du jeu démocratique,"VÉZINA, Sylvain|BOUCHARD, Pier",,,,38,1995,1995-01-01,1995-12-31,,pp. 127-146,,,,Acadie,Politique|Administration
0017,Égalité,Réformer pour mieux gérer,"FINN, Jean-Guy",,,,38,1995,1995-01-01,1995-12-31,,pp. 149-159,,,,Acadie,Politique|Administration
0018,Égalité,Les changements administratifs en éducation mis en oeuvre par le gouvernement McKenna,"MARTIN, Normand",,,,38,1995,1995-01-01,1995-12-31,,pp. 161-167,,,,Acadie,Politique|Administration|Éducation|Administration
0019,Égalité,La réorganisation des services municipaux depuis 1992,"WALKER, Julian H.",,,,38,1995,1995-01-01,1995-12-31,,pp. 169-180,,,,Acadie,Politique|Municipal|Politique|Administration
0020,Égalité,La réforme des services de santé,"BERTIN, Roger",,,,38,1995,1995-01-01,1995-12-31,,pp. 181-187,,,,Acadie,Politique|Administration|Sociologie|Services
0021,Égalité,La réforme en éducation : chronologie des événements,"RICHARD, Léon",,,,38,1995,1995-01-01,1995-12-31,,pp. 189-195,,,,Acadie,Éducation|Administration|Politique|Administration
0022,Égalité,La dimension municipale des réformes administratives au Nouveau-Brunswick,"CHIASSON, Léopold",,,,38,1995,1995-01-01,1995-12-31,,pp. 197-212,,,,Acadie,Politique|Municipal|Politique|Administration
0023,Égalité,Bilan linguistique des réformes administratives au Nouveau-Brunswick,"OUELLETTE, Lise",,,,38,1995,1995-01-01,1995-12-31,,pp. 213-223,,,,Acadie,Politique|Administration|Langue|Politique
0024,Égalité,La réforme du régime des soins de santé,"ERICSON, Penny K.|PEPPERDENE, Barbara",,,,38,1995,1995-01-01,1995-12-31,,pp. 227-233,,,,Acadie,Politique|Administration|Sociologie|Services
0025,Égalité,"Mondialisation, espace et individu","LABELLE, Gilles",,,,37,1995,1995-01-01,1995-12-31,,pp. 17-35,,,,Acadie,Politique|Comportement|Économie|Intégration
0026,Égalité,Une autre forme de racisme,"DECERF, Anne",,,,37,1995,1995-01-01,1995-12-31,,pp. 37-65,,,,Acadie,Sociologie|Identité
0027,Égalité,Sommes-nous tous racistes? Du racisme latent à la néantisation de l'Autre,"LECOQ, Arlette",,,,37,1995,1995-01-01,1995-12-31,,pp. 69-84,,,,Acadie,Sociologie|Identité
0028,Égalité,"Racisme, xénophobie et lien social","SEGUIN, Marie-Thérèse",,,,37,1995,1995-01-01,1995-12-31,,pp. 85-101,,,,Acadie,Sociologie|Solidarité
0029,Égalité,"Différence, xénophobie et racisme en Acadie","THÉRIAULT, J. Yvon",,,,37,1995,1995-01-01,1995-12-31,,pp. 103-119,,,,Acadie,Sociologie|Identité
0030,Égalité,L'appropriation des peuples autochtones au Canada : propos socio-historiques,"MARCOCCIO, Katherine",,,,37,1995,1995-01-01,1995-12-31,,pp. 121-143,,,,Acadie,Histoire|Autochtone|Sociologie|Identité
0031,Égalité,La théorie du complot francophone au Canada et au Nouveau-Brunswick : étude d'un comportement xénophobe,"BELKHODJA, Chedly",,,,37,1995,1995-01-01,1995-12-31,,pp. 145-169,,,,Acadie,Politique|Parti
0032,Égalité,La richesse de la diversité des cultures dans notre milieu scolaire,"ROY, Annette",,,,37,1995,1995-01-01,1995-12-31,,pp. 171-181,,,,Acadie,Éducation|École
0033,Égalité,L'abandon des préjugés raciaux : du rêve à la réalité,"RUSHDY-HANNA, Hayat",,,,37,1995,1995-01-01,1995-12-31,,pp. 185-203,,,,Acadie,Droit|Politique
0034,Égalité,Diagnostic sur la vitalité de la communauté acadienne du Nouveau-Brunswick,"LANDRY, Rodrigue",,,,36,1994,1994-01-01,1994-12-31,,pp. 11-39,,,,Acadie,Langue|Comportement|Géographie|Population
0035,Égalité,Nos outils législatifs : un bilan,"DOUCET, Michel",,,,36,1994,1994-01-01,1994-12-31,,pp. 41-62,,,,Acadie,Droit|Politique
0036,Égalité,Les mécanismes de mise en oeuvre de la Loi sur les langues officielles : le modèle fédéral,"RENAULT, Jeanne",,,,36,1994,1994-01-01,1994-12-31,,pp. 63-71,,,,Acadie,Langue|Politique
0037,Égalité,"Le technicien, le philosophe et l'artiste","FOUCHER, Pierre",,,,36,1994,1994-01-01,1994-12-31,,pp. 73-89,,,,Acadie,Droit|Politique
0038,Égalité,Vers une autoroute électronique francophone,"CARRIER, Normand",,,,36,1994,1994-01-01,1994-12-31,,pp. 91-95,,,,Acadie,Sociologie|Médias
0039,Égalité,Profil socioéconomique des deux communautés linguistiques du Nouveau-Brunswick,"DESJARDINS, Pierre-Marcel",,,,36,1994,1994-01-01,1994-12-31,,pp. 97-106,,,,Acadie,Économie|Analyse|Sociologie|Économie
0040,Égalité,L'Acadie du Nouveau-Brunswick a-t-elle besoin du gouvernement municipal?,"CHIASSON, Léopold",,,,36,1994,1994-01-01,1994-12-31,,pp. 107-117,,,,Acadie,Politique|Municipal
0041,Égalité,La réforme des services de santé au Nouveau-Brunswick : rationalisation ou rationnement?,"BOUCHARD, Pier|VÉZINA, Sylvain",,,,36,1994,1994-01-01,1994-12-31,,pp. 121-142,,,,Acadie,Politique|Administration|Sociologie|Services
0042,Égalité,Vers l'égalité réelle,"OUELLETTE, Lise",,,,36,1994,1994-01-01,1994-12-31,,pp. 145-154,,,,Acadie,Politique|Nationalisme
0043,Égalité,Le bruit du tintamarre : l'ambiguïté de la figure de l'Autre dans le discours nationaliste acadien contemporain,"JOHNSON, Marc",,,,35,1994,1994-01-01,1994-12-31,,pp. 13-33,,,,Acadie,Politique|Nationalisme
0044,Égalité,"L'élaboration d'une vision commune d'une communauté urbaine : les élites francophones et anglophones de Moncton, de 1870 à 1940","LEBLANC, Phyllis E.",,,,35,1994,1994-01-01,1994-12-31,,pp. 35-51,,,,Acadie,Histoire|Économie|Géographie|Milieu
0045,Égalité,Émergence et succès d'un parti politique populiste de droite au Nouveau-Brunswick? Le cas du parti Confederation of Regions,"BELKHODJA, Chedly",,,,35,1994,1994-01-01,1994-12-31,,pp. 53-79,,,,Acadie,Politique|Parti
0046,Égalité,Le triangle de l'acadianité,"THÉRIAULT, J. Yvon",,,,35,1994,1994-01-01,1994-12-31,,pp. 83-97,,,,Acadie,Sociologie|Identité
0047,Égalité,Je est un autre,"CHIASSON, Herménégilde",,,,35,1994,1994-01-01,1994-12-31,,pp. 99-112,,,,Acadie,Culturel|Production|Sociologie|Identité
0048,Égalité,Les partisans acadiens et francophones de la loi King et la crise scolaire des années 1870 au Nouveau-Brunswick,"BASQUE, Maurice",,,,35,1994,1994-01-01,1994-12-31,,pp. 113-120,,,,Acadie,Éducation|Histoire|Politique|Administration
0049,Égalité,Citoyenneté et identité au Nouveau-Brunswick : la reconnaissance des communautés anglophone et francophone,"COULOMBE, Pierre A.",,,,35,1994,1994-01-01,1994-12-31,,pp. 121-133,,,,Acadie,Droit|Politique
0050,Égalité,"Le Parti acadien et la communauté anglophone du Nouveau-Brunswick, de 1972 à 1982","OUELLETTE, Roger",,,,35,1994,1994-01-01,1994-12-31,,pp. 135-143,,,,Acadie,Politique|Parti
0051,Égalité,Pour ne pas perdre le Nord : une nouvelle régionalisation des sept Acadies du Nouveau-Brunswick,"ARSENEAULT, Samuel P.",,,,35,1994,1994-01-01,1994-12-31,,pp. 147-153,,,,Acadie,Géographie|Territoire
0052,Égalité,"A l'heure de la mondialisation, les politiques régionales de l'État central sont-elle devenues caduques?","COTÉ, Serge",,,,34,1993,1993-01-01,1993-12-31,,PP. 17-43,,,,Acadie,Économie|Développement|Politique|Administration
0053,Égalité,Formes socioéconomiques et identité franco-ontarienne dans le nord-est de l'Ontario : étude socio-historique de développement économique,"WELCH, David",,,,34,1993,1993-01-01,1993-12-31,,pp. 45-80,,,,Ontario,Sociologie|Identité|Économie|Développement
0054,Égalité,État comparatif des francophones hors-Québec,"BEAUDIN, Maurice",,,,34,1993,1993-01-01,1993-12-31,,pp. 83-110,,,,,Économie|Développement
0055,Égalité,Le financement du développement régional : l'exemple des commissions industrielles régionales du Nouveau-Brunswick,"ALLAIN, Greg",,,,34,1993,1993-01-01,1993-12-31,,pp. 111-144,,,,Acadie,Économie|Développement
0056,Égalité,Nos entrepreneures : une incidence économique non négligeable,"GODBOUT, Lucienne",,,,34,1993,1993-01-01,1993-12-31,,pp. 145-153,,,,Acadie,Économie|Développement
0057,Égalité,Les relations fédérales-provinciales et le développement régional,"SAVOIE, Donald J.",,,,34,1993,1993-01-01,1993-12-31,,pp. 169-188,,,,Acadie,Économie|Développement|Politique|Administration
0058,Égalité,Éxpéditions interprovinciales et internationales du secteur manufacturier du Canada atlantique en 1991,"DESJARDINS, Pierre-Marcel|DEBENEDETTI, George J.",,,,34,1993,1993-01-01,1993-12-31,,pp. 155-168,,,,Acadie,Économie|Développement|Économie|Commerce
0059,Égalité,La forêt et le développement au Nouveau-Brunswick,"LÉGER, Raymond",,,,34,1993,1993-01-01,1993-12-31,,pp. 189-202,,,,Acadie,Économie|Développement
0060,Égalité,Le rôle de l'APÉCA,"PAULIN, Micheline",,,,34,1993,1993-01-01,1993-12-31,,pp. 208-211,,,,Acadie,Économie|Développement
0061,Égalité,ADEL-Kent : une petite machine rurale qui fonctionne bien,"SAVOIE, Rhéal",,,,34,1993,1993-01-01,1993-12-31,,pp. 212-216,,,,Acadie,Économie|Développement
0062,Égalité,La Commission économique du Grand Moncton et le développement en partenariat,"ROBICHAUD, Éric",,,,34,1993,1993-01-01,1993-12-31,,pp. 216-221,,,,Acadie,Économie|Développement
0063,Égalité,Le Conseil économique du Nouveau-Brunswick et le développement régional,"NADEAU, Jean",,,,34,1993,1993-01-01,1993-12-31,,pp. 221-225,,,,Acadie,Économie|Développement
0064,Égalité,Un exemple de concertation régionale : le Sommet économique de la Péninsule,"FOULEM, Ghislaine",,,,34,1993,1993-01-01,1993-12-31,,pp. 226-232,,,,Acadie,Économie|Développement
0065,Égalité,Le Mouvement coopératif acadien et sa Société d'investissement : un partenaire-clé dans le développement,"MÉNARD, Gilles",,,,34,1993,1993-01-01,1993-12-31,,pp. 232-235,,,,Acadie,Économie|Coopération|Économie|Développement
0066,Égalité,Coop Atlantique : un virage vers le développement coopératif et communautaire,"ROY, Lorio",,,,34,1993,1993-01-01,1993-12-31,,pp. 235-238,,,,Acadie,Économie|Coopération|Économie|Développement
0067,Égalité,Femmes et coopération,"SEGUIN, Marie-Thérèse",,,,34,1993,1993-01-01,1993-12-31,,pp. 238-241,,,,Acadie,Populations|Femmes|Économie|Coopération|Économie|Développement
0068,Égalité,L'étatisation des relations entre le Québec et les communautés acadiennes et francophones : chronique d'une époque,"MARTEL, Angéline",,,,33,1993,1993-01-01,1993-12-31,,pp. 13-79,,,,Acadie,Politique|Administration
0069,Égalité,"Le nationalisme québécois, les Acadiens et les francophones du Canada","OLIVIER, Lawrence|BÉDARD, Guy",,,,33,1993,1993-01-01,1993-12-31,,pp. 81-100,,,,Acadie|Québec,Politique|Nationalisme
0070,Égalité,Parallèles Acadie-Québec : de 1864 à nos jours,"THÉRIAULT, Léon",,,,33,1993,1993-01-01,1993-12-31,,pp. 103-123,,,,Acadie|Québec,Histoire|Politique|Nationalisme
0071,Égalité,Tout n'est pas noir et blanc dans les relations Acadie-Québec,"OUELLETTE, Roger",,,,33,1993,1993-01-01,1993-12-31,,pp. 125-132,,,,Acadie|Québec,Politique|Nationalisme
0072,Égalité,Les relations commerciales entre l'Acadie et le Québec : perspective récente et historique,"NADEAU, Jean",,,,33,1993,1993-01-01,1993-12-31,,pp. 133-147,,,,Acadie|Québec,Économie|Commerce
0073,Égalité,Les relations commerciales entre Acadiens et Québécois peuvent-elles constituer un fondement à la solidarité culturelle qui les unit?,"BASTARACHE, Michel",,,,33,1993,1993-01-01,1993-12-31,,pp. 149-157,,,,Acadie|Québec,Économie|Commerce
0074,Égalité,La coopération au service d'un partenariat économique durable entre l'Acadie et le Québec,"BÉLAND, Claude",,,,33,1993,1993-01-01,1993-12-31,,pp. 159-168,,,,Acadie|Québec,Économie|Coopération
0075,Égalité,Acadie-Québec : relations de partenariat dans le domaine culturel,"BOURGEOIS, Ronald",,,,33,1993,1993-01-01,1993-12-31,,pp. 169-176,,,,Acadie|Québec,Culturel|Production
0076,Égalité,L'Acadie des Maritimes et le Québec : une affaire de francophonie,"RICHARD, Edmond",,,,33,1993,1993-01-01,1993-12-31,,pp. 177-184,,,,Acadie|Québec,Langue|Politique
0077,Égalité,Impact du programme de coopération économique des gouvernements des provinces atlantiques sur les communautés acadiennes,"LECLERC, André",,,,32,1992,1992-01-01,1992-12-31,,pp. 19-46,,,,Acadie,Économie|Coopération|Politique|Administration
0078,Égalité,Vers une union administrative des Maritimes?,"DIDIER, René",,,,32,1992,1992-01-01,1992-12-31,,pp. 49-67,,,,Acadie,Politique|Administration
0079,Égalité,L'Acadie face à l'intégration économique des Maritimes,"BOURGEOIS, Daniel",,,,32,1992,1992-01-01,1992-12-31,,pp. 69-91,,,,Acadie,Économie|Intégration
0080,Égalité,L'union politique du Canada atlantique,"YOUNG, Douglas",,,,32,1992,1992-01-01,1992-12-31,,pp. 93-109,,,,Acadie,Politique|Administration
0081,Égalité,La collectivité acadienne face aux conséquences politiques de l'intégration économique du Canada atlantique,"DOUCET, Philippe|OUELLETTE, Roger",,,,32,1992,1992-01-01,1992-12-31,,pp. 111-125,,,,Acadie,Économie|Intégration|Politique|Comportement
0082,Égalité,L'Acadie et l'intégration économique des provinces de l'Atlantique,Société Nationale de l'Acadie,,,,32,1992,1992-01-01,1992-12-31,,pp. 127-141,,,,Acadie,Économie|Intégration
0083,Égalité,L'intégration économique des provinces de l'Atlantique,"BASTARACHE, Michel",,,,32,1992,1992-01-01,1992-12-31,,pp. 145-154,,,,Acadie,Économie|Intégration
0084,Égalité,L'Acadie et l'intégration économique des provinces de l'Atlantique : un commentaire,"d'ENTREMONT, Harley",,,,32,1992,1992-01-01,1992-12-31,,pp. 155-163,,,,Acadie,Politique|Nationalisme|Économie|Intégration
0085,Égalité,L'évolution des syndicats au Nouveau-Brunswick,"LÉGER, Raymond",,,,31,1992,1992-01-01,1992-12-31,,pp. 19-40,,,,Acadie,Sociologie|Travail|Histoire|Économie
0086,Égalité,L'évolution du syndicalisme au Canada et au Nouveau-Brunswick,"ALLAIN, Greg",,,,31,1992,1992-01-01,1992-12-31,,pp. 41-74,,,,Acadie,Sociologie|Travail
0087,Égalité,"Le travail, le chemin de fer et les transformations économiques de Moncton de 1870 à 1941","LEBLANC, Phyllis E.",,,,31,1992,1992-01-01,1992-12-31,,pp. 75-93,,,,Acadie,Histoire|Économie|Sociologie|Travail
0088,Égalité,Contre l'oppression économique des femmes : syndicalisation et politiques d'équité,"LANDRY, Bernadette",,,,31,1992,1992-01-01,1992-12-31,,pp. 97-115,,,,Acadie,Populations|Femmes|Sociologie|Travail
0089,Égalité,Les travailleuses et l'équité salariale au Nouveau-Brunswick,"BEAULIEU, Mona",,,,31,1992,1992-01-01,1992-12-31,,pp. 117-128,,,,Acadie,Sociologie|Travail|Populations|Femmes
0090,Égalité,Les syndicats et l'obligation d'accommodement,"LYNK, Michael",,,,31,1992,1992-01-01,1992-12-31,,pp. 129-141,,,,Acadie,Sociologie|Travail
0091,Égalité,Le secteur des pâtes et papiers au Nouveau-Brunswick : situation et défis,"WHITTON, Elmo",,,,31,1992,1992-01-01,1992-12-31,,pp. 143-155,,,,Acadie,Sociologie|Travail|Économie|Commerce
0092,Égalité,Vers une concertation pour la reconstruction de l'industrie des pêches,"GODIN, Yvon|BELLEMARE, Réjean",,,,31,1992,1992-01-01,1992-12-31,,pp. 157-172,,,,Acadie,Sociologie|Travail|Économie|Commerce
0093,Égalité,Réponse du mouvement syndical aux attaques dirigées contre l'indemnisation des travailleurs et travailleuses,"MURPHY, John",,,,31,1992,1992-01-01,1992-12-31,,pp. 173-192,,,,Acadie,Sociologie|Travail
0094,Égalité,L'alphabétisation en milieu de travail,"SWEENEY, Ethel",,,,31,1992,1992-01-01,1992-12-31,,pp. 193-196,,,,Acadie,Sociologie|Travail
0095,Égalité,Une structure syndicale méconnue : les conseils de travail,"BASQUE, Jean-Claude",,,,31,1992,1992-01-01,1992-12-31,,pp. 197-206,,,,Acadie,Sociologie|Travail
0096,Égalité,Les rapports que de jeunes Acadiens et Acadiennes entretiennent avec leur langue et avec la langue,"BOUDREAU, Annette",,,,30,1991,1991-01-01,1991-12-31,,pp. 17-37,,,,Acadie,Langue|Application|Populations|Jeunes
0097,Égalité,Les jeunes et le syndicalisme au Nouveau-Brunswick,"ALLAIN, Greg|TIVENDELL, John",,,,30,1991,1991-01-01,1991-12-31,,pp. 69-94,,,,Acadie,Sociologie|Travail|Populations|Jeunes
0098,Égalité,Portrait des leaders chez les élèves des écoles secondaires francophones au Nouveau-Brunswick,"ROBICHAUD, Stéphane",,,,30,1991,1991-01-01,1991-12-31,,pp. 137-157,,,,Acadie,Éducation|École|Populations|Jeunes|Politique
0099,Égalité,"Évolution démographique, économie et chômage des jeunes au Nouveau-Brunswick de 1971 à 1990","BEFEKADU, Fettene",,,,30,1991,1991-01-01,1991-12-31,,pp. 159-179,,,,Acadie,Économie|Analyse|Populations|Jeunes|Géographie|Population
0100,Égalité,Pour une stratégie globale en aménagement linguistique de l'Acadie du Nouveau-Brunswick,"CORBEIL, Jean-Claude",,,,30,1991,1991-01-01,1991-12-31,,pp. 185-197,,,,Acadie,Langue|Politique
0101,Égalité,La place des jeunes en milieu minoritaire,"MCKEE-ALLAIN, Isabelle",,,,30,1991,1991-01-01,1991-12-31,,pp. 199-204,,,,Acadie,Sociologie|Identité|Populations|Jeunes
0102,Égalité,L'agriculture en Acadie,Fédération des agriculteurs et agricultrices francophones du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 21-24,,,,Acadie,Culturel|Association
0103,Égalité,Vers une véritable politique culturelle,,,,,29,1991,1991-01-01,1991-12-31,,pp. 25-27,,,,Acadie,Culturel|Production
0104,Égalité,Les artistes en Acadie,Association acadienne des artistes professionnel.le.s du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 29-31,,,,Acadie,Culturel|Production|Culturel|Association
0105,Égalité,Les sociétés culturelles en Acadie,Conseil provincial des sociétés culturelles,,,,29,1991,1991-01-01,1991-12-31,,pp. 33-36,,,,Acadie,Culturel|Production|Culturel|Association
0106,Égalité,Les artisans en Acadie,Métiers d'art acadiens du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 37-38,,,,Acadie,Culturel|Production
0107,Égalité,Radio-Canada: pour nous avant... qu'il ne soit trop tard,,,,,29,1991,1991-01-01,1991-12-31,,pp. 39-44,,,,Acadie,Sociologie|Médias
0108,Égalité,Les radios communautaires acadiennes : investissement rentable pour le gouvernement du Nouveau-Brunswick,Association des radios communautaires acadiennes du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 45-58,,,,Acadie,Sociologie|Médias|Culturel|Association
0109,Égalité,La femme acadienne,Fédération des Dames d'Acadie,,,,29,1991,1991-01-01,1991-12-31,,pp. 55-58,,,,Acadie,Culturel|Association|Populations|Femmes
0110,Égalité,La condition de la femme en milieu rural,Institut féminin francophone du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 59-62,,,,Acadie,Culturel|Association|Populations|Femmes
0111,Égalité,Les femmes collaboratrices,Association des femmes collaboratrices francophones du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 63-65,,,,Acadie,Culturel|Association|Populations|Femmes
0112,Égalité,La revitalisation de l'économie en Acadie,Assomption Compagnie Mutuelle d'assurance-vie,,,,29,1991,1991-01-01,1991-12-31,,pp. 67-73,,,,Acadie,Culturel|Association|Économie|Commerce
0113,Égalité,Conseil économique du Nouveau-Brunswick,,,,,29,1991,1991-01-01,1991-12-31,,pp. 75-79,,,,Acadie,Culturel|Association|Économie|Commerce
0114,Égalité,La coopération économique en Acadie,Mouvement coopératif acadien,,,,29,1991,1991-01-01,1991-12-31,,pp. 81-82,,,,Acadie,Culturel|Association|Économie|Coopération
0115,Égalité,Les questions linguistiques en éducation,Association des conseillers et des conseillères scolaires francophones du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 83-86,,,,Acadie,Culturel|Association|Éducation|Pédagogie
0116,Égalité,"L'éducation, instrument de libération",Association des enseignants et des enseignantes francophones du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 87-94,,,,Acadie,Culturel|Association|Éducation|Personnel
0117,Égalité,Comités de parents du Nouveau-Brunswick,,,,,29,1991,1991-01-01,1991-12-31,,pp. 95-100,,,,Acadie,Culturel|Association|Éducation|École
0118,Égalité,L'alphabétisation en Acadie,Fédération d'alphabétisation du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 101-102,,,,Acadie,Culturel|Association|Éducation|Pédagogie
0119,Égalité,Fédération des étudiants et des étudiantes du Centre universitaire de Moncton,,,,,29,1991,1991-01-01,1991-12-31,,pp. 103-115,,,,Acadie,Culturel|Association|Éducation|Post-secondaire
0120,Égalité,Où est le mandat de la jeunesse au Nouveau-Brunswick?,Fédération des jeunes francophones du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 119-122,,,,Acadie,Culturel|Association|Populations|Jeunes
0121,Égalité,La langue française et l'appareil judiciaire,Association des juristes d'expression française du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 123-127,,,,Acadie,Culturel|Association|Droit|Langue
0122,Égalité,Langues officielles : pour une égalité réelle,Société des Acadiens et Acadiennes du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 129-137,,,,Acadie,Culturel|Association|Langue|Politique
0123,Égalité,Association des municipalités du Nouveau-Brunswick,,,,,29,1991,1991-01-01,1991-12-31,,pp. 139-142,,,,Acadie,Culturel|Association|Politique|Municipal
0124,Égalité,L'industrie des pêches en Acadie,Association des pêcheurs professionnels acadiens,,,,29,1991,1991-01-01,1991-12-31,,pp. 143-152,,,,Acadie,Culturel|Association|Économie|Commerce
0125,Égalité,Personnes âgées,,,,,29,1991,1991-01-01,1991-12-31,,pp. 153-156,,,,Acadie,Culturel|Association|Populations|Personnes âgées
0126,Égalité,Accidentés du travail,,,,,29,1991,1991-01-01,1991-12-31,,pp. 157-161,,,,Acadie,Sociologie|Travail
0127,Égalité,Évolution des services médico-hospitaliers dans le Nord du Nouveau-Brunswick,Groupe des hôpitaux francophones et bilingues du Nouveau-Brunswick,,,,29,1991,1991-01-01,1991-12-31,,pp. 163-169,,,,Acadie,Sociologie|Services
0128,Égalité,Secrétariat de la francophonie,,,,,29,1991,1991-01-01,1991-12-31,,pp. 171-172,,,,Acadie,Culturel|Association
0129,Égalité,Les sports et les loisirs en Acadie,Conseil de développement du sport francophone et Société des Jeux de l'Acadie,,,,29,1991,1991-01-01,1991-12-31,,pp. 173-176,,,,Acadie,Culturel|Association|Populations|Jeunes
0130,Égalité,Le Centre acadien du tourisme -- outil de développement indispensable,,,,,29,1991,1991-01-01,1991-12-31,,pp. 177-181,,,,Acadie,Culturel|Association
0131,Égalité,L'immigration internationale au Nouveau-Brunswick de 1970 à 1988,"DOIRON, Micheline",,,,28,1990,1990-01-01,1990-12-31,,pp. 57-82,,,,Acadie,Populations|International|Géographie|Population
0132,Égalité,Le système électoral du Nouveau-Brunswick et la représentation acadienne,"DOUCET, Philippe",,,,28,1990,1990-01-01,1990-12-31,,pp. 83-122,,,,Acadie,Politique|Élection
0133,Égalité,Les usines de transformation du crabe au Nouveau-Brunswick : les agents intervenants dans la restructuration du travail,"ROY, Rita|SEGUIN, Marie-Thérèse",,,,28,1990,1990-01-01,1990-12-31,,pp. 123-147,,,,Acadie,Sociologie|Travail|Économie|Commerce
0134,Égalité,Le malaise des travailleuses et des travailleurs sociaux : leur situation dans la fonction publique néo-brunswickoise,"JAMEL, Doss",,,,28,1990,1990-01-01,1990-12-31,,pp. 151-168,,,,Acadie,Politique|Administration|Sociologie|Services
0135,Égalité,"L'écologisme, le néo-pacifisme et les droits humains","BABIN, Ronald",,,,27,1990,1990-01-01,1990-12-31,,pp. 43-56,,,,Acadie,Sociologie|Droit|Politique|Géographie|Milieu
