Numéro notice,Titre,Titre Article,Auteurs,Auteurs collectifs,Collection,Volume,Numéro,Date,DateDébut,DateFin,Édition,Collation,Éditeur,Lieu,Notes,Régions,Sujets
2845,Les voies de l'avenir franco-ontarien,,Association canadienne-française de l'Ontario,,,,,1989,1989-01-01,1989-12-31,,100 p.,Association canadienne-française de l'Ontario,Ottawa,"Actes du colloque de l'Association canadienne-française de l'Ontario tenu à Ottawa les 23, 24 et 25 septembre 1988.",Ontario,Sociologie|Économie
2846,Mémoires de la Société royale du Canada = Transactions of the Royal Society of Canada,Entrepreneurship canadien-français : mythes et réalités,"PAQUET, Gilles",,,1,,1986,1986-01-01,1986-12-31,Série 5,pp. 151-178,,,,,Économie|Commerce
2847,Le statut socio-économique des francophones hors Québec,,"PELLETIER, Serge",,,,,1982,1982-01-01,1982-12-31,,,"Bibliothèque du Parlement, Division des affaires politiques et sociales",Ottawa,,,Sociologie|Économie
2848,Un espace économique réaliste à bâtir,,"POIRIER, Denis",,,,,1981,1981-01-01,1981-12-31,,136 p.,Société franco-manitobaine,Saint-Boniface,,Ouest|Manitoba,Sociologie|Économie
2849,L'égalité pour l'égalité : étude et analyse des impacts socio-juridiques des lois sur les femmes collaboratices dans les provinces canadiennes de Common Law,,"POIRIER, Donald|CHOLETTE, Chantal P.",,,,,1987,1987-01-01,1987-12-31,,"vi, 253 p.",Fédération nationale des femmes canadiennes-françaises,Ottawa,,,Populations|Femmes|Culturel|Association
2850,Femmes et francophones : double infériorité,,"PROULX, Pauline",,,,,1981,1981-01-01,1981-12-31,,124 p.,Fédération nationale des femmes canadiennes-françaises,Ottawa,,,Populations|Femmes
2851,La francophonie clandestine ou De l'aide du Secrétariat d'État aux communautés francophones hors Québec de 1968 à 1976,,"RAVAULT, René-Jean",,,,,1977,1977-01-01,1977-12-31,,"x, 501 p.",s.n,Ottawa,Rapport présenté à la Direction des groupes minoritaires de langues officielles du secrétariat d'État.,,Politique|Administration|Culturel|Association
2852,Femmes d'action,Viser l'autonomie financière : l'objectif avec un grand O,"ROY-HARRISON, Carole",,,16,2,1987,1987-01-01,1987-12-31,,pp. 16-20,,,,,Populations|Femmes
2853,Les enjeux juridiques et sociopolitiques des conflits linguistiques au Nouveau-Brunswick,"Attributs linguistiques et revenus, Nouveau-Brunswick 1981","VAILLANCOURT, François|CARPENTIER, Josée","PRUJINER, Alain",Publication du CIRB,,G-8,1987,1987-01-01,1987-12-31,,pp. 87-125,Centre international de recherche sur le bilinguisme,Québec,Annexe 1.,Acadie,Langue|Comportement|Économie|Analyse
2854,La religion et les Acadiens à l'Ile-du-Prince-Édouard : 1720-1980,,"ARSENAULT, Georges|LEBLANC, Bernadette",,,,,1983,1983-01-01,1983-12-31,,102 p.,Société Saint-Thomas d'Aquin,Summerside,,Acadie|Ile-du-Prince-Édouard,Histoire|Religion
2855,Besoins et perceptions des Franco-Albertains,,Association canadienne-française de l'Alberta,,,,,1982,1982-01-01,1982-12-31,,37 p.,CERECO,Winnipeg,Rapport intérimaire.,Ouest|Alberta,Sociologie|Solidarité
2856,Les francophones tels qu'ils sont en 1986,,Association canadienne-française de l'Ontario,,,,,1988,1988-01-01,1988-12-31,,21 p.,Association canadienne-française de l'Ontario,Ottawa,Recueil statistique.,Ontario,Culturel|Association
2857,Plan de développement global,,Association canadienne-française de l'Ontario,,,,,1984,1984-01-01,1984-12-31,,,Association canadienne-française de l'Ontario,Ottawa,,Ontario,Culturel|Association
2858,Besoins et perceptions des Franco-Ontariens,,Association canadienne-française de l'Ontario,,,,,1982,1982-01-01,1982-12-31,,37 p.,CERECO,Winnipeg,Rapport intérimaire.,Ontario,Culturel|Association
2859,Destination '88 : vers un développement global de la communauté fransaskoise,,Association culturelle franco-canadienne de la Saskatchewan,,,,,1983,1983-01-01,1983-12-31,,48 p.,Association culturelle franco-canadienne de la Saskatchewan,Régina,,Ouest|Saskatchewan,Culturel|Association|Sociologie|Identité
2860,Besoins et perceptions des Fransaskois,,Association culturelle franco-canadienne de la Saskatchewan,,,,,1982,1982-01-01,1982-12-31,,39 p.,CERECO,Winnipeg,Rapport intérimaire.,Ouest|Saskatchewan,Sociologie|Identité
2861,Cap-Aux-Diamants,Ici Radio-Canada. Une voix française qui étonne l'Ontario,"FORTIER, Pierre|TRUDELLE, Clermont",,,,23,1990,1990-01-01,1990-12-31,,pp. 34-37,,,,Ontario,Sociologie|Médias
2862,Les frontières culturelles et la cohésion du Canada,,"BRETON, Raymond|REITZ, Jeffrey G.|VALENTINE, Victor F.|STASIULIS, Daiva|LACHAPELLE, Réjean|PETERSONS TAYLOR, Ilze",,,,,1981,1981-01-01,1981-12-31,,"xx, 482 p.",Institut de recherches politiques,Montréal,,,Sociologie|Identité
2863,Villages et visages de l'Ontario français : album d'histoire et de témoignages,,"BRODEUR, René|CHOQUETTE, Robert",,,,,1979,1979-01-01,1979-12-31,,"xx, 141 p.",Office de la télécommunication de l'Ontario et Fides,Toronto et Montréal,,Ontario,Sociologie|Solidarité
2864,L'état des communautés minoritaires de langue officielle : indicateurs de développement,,Canada. Secrétariat d'État du Canada,,,,,1991,1991-01-01,1991-12-31,,,s.n,Ottawa,,,Sociologie|Identité
2865,Initiation thématique à la sociologie,La sociologie des relations ethniques au Canada,"CARDINAL, Linda|LAPOINTE, Jean","LAFONTANT, Jean",,,,1988,1988-01-01,1988-12-31,,420 p.,Éditions des Plaines,Saint-Boniface,,,Sociologie|Identité
2866,La direction d'un journal communautaire dans la francophonie hors Québec,,"CREMER, Pierre",,,,,1985,1985-01-01,1985-12-31,,154 p.,Association de la presse francophone hors Québec,Ottawa,,,Sociologie|Médias
2867,"Étude des communautés francophones hors Québec, des communautés anglophones au Québec, des francophones au Québec et des anglophones hors Québec",,Centre de recherche sur l'opinion publique,,,,,1982,1982-01-01,1982-12-31,,171 p.,"Canada, Secrétariat d'État",Ottawa,,,Politique|Comportement
2868,Les cent lignes de notre américanité,Manifeste pour un camping bien articulé,"DAIGLE, France",,,,,1984,1984-01-01,1984-12-31,,pp. 109-111,Éditions Perce-Neige,Moncton,Actes du colloque tenu à Moncton du 14 au 16 juin 1984.,Acadie,Culturel|Production
2869,Les voies de l'avenir franco-ontarien,Langue et culture. Stratégies pour l'avenir,"DE BLOIS, Pierre",L'Association canadienne-française de l'Ontario,,,,1989,1989-01-01,1989-12-31,,pp. 40-46,Association canadienne-française de l'Ontario,Ottawa,"Actes du colloque tenu à Ottawa, les 23, 24 et 25 septembre 1988.",Ontario,Langue|Comportement
